pl_name,habitable

GJ 317 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 328 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 3293 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 3293 c,CHZ invalid |  Kepler invalid (not enough data)

GJ 3293 d,CHZ invalid |  Kepler invalid (not enough data)

GJ 3293 e,CHZ invalid |  Kepler invalid (not enough data)

GJ 3323 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 3323 c,CHZ invalid |  Kepler invalid (not enough data)

GJ 3341 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 338 B b,CHZ invalid |  Kepler invalid (not enough data)

GJ 3470 b,CHZ invalid |  Kepler invalid

GJ 3473 b,CHZ invalid |  Kepler valid

GJ 3473 c,CHZ invalid |  Kepler invalid (not enough data)

GJ 3512 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 357 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 357 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 357 d,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 3634 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 367 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 3779 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 3929 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 393 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 3942 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 3998 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 3998 c,CHZ invalid |  Kepler invalid (not enough data)

GJ 411 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 414 A b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 414 A c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 422 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 4276 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 433 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 433 c,CHZ invalid |  Kepler invalid (not enough data)

GJ 433 d,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 436 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 480 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 486 b,CHZ invalid |  Kepler valid

GJ 504 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 514 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 536 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 581 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 581 c,CHZ invalid |  Kepler invalid (not enough data)

GJ 581 e,CHZ invalid |  Kepler invalid (not enough data)

GJ 625 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 649 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 667 C b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 667 C c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 674 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 676 A b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 676 A c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 676 A d,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 676 A e,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 682 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 682 c,CHZ invalid |  Kepler invalid (not enough data)

GJ 685 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 687 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 687 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 720 A b,CHZ invalid |  Kepler invalid (not enough data)

GJ 740 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 832 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 832 c,CHZ invalid |  Kepler invalid (not enough data)

GJ 849 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 849 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 86 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

